,Geo_Type,Geo_Name,Geo_ID,UnemploymentRate_ESRI,UnemploymentRate_BLS,Unemployment_Adjustment
82,US.CBSA,"Anniston-Oxford, AL Metropolitan Statistical Area",11500,15.0,6.6,0.44
83,US.CBSA,"Appleton, WI Metropolitan Statistical Area",11540,10.3,4.0,0.3883495145631068
84,US.CBSA,"Arcadia, FL Micropolitan Statistical Area",11580,7.0,4.0,0.5714285714285714
85,US.CBSA,"Ardmore, OK Micropolitan Statistical Area",11620,10.9,6.8,0.6238532110091742
86,US.CBSA,"Arkadelphia, AR Micropolitan Statistical Area",11660,11.6,5.2,0.4482758620689655
87,US.CBSA,"Asheville, NC Metropolitan Statistical Area",11700,10.7,5.9,0.5514018691588786
88,US.CBSA,"Ashland, OH Micropolitan Statistical Area",11740,13.0,3.9,0.3
89,US.CBSA,"Ashtabula, OH Micropolitan Statistical Area",11780,14.9,5.3,0.35570469798657717
90,US.CBSA,"Astoria, OR Micropolitan Statistical Area",11820,11.5,6.8,0.591304347826087
91,US.CBSA,"Atchison, KS Micropolitan Statistical Area",11860,13.6,5.5,0.40441176470588236
92,US.CBSA,"Athens, OH Micropolitan Statistical Area",11900,18.9,4.5,0.2380952380952381
93,US.CBSA,"Athens, TN Micropolitan Statistical Area",11940,13.7,6.9,0.5036496350364964
94,US.CBSA,"Athens, TX Micropolitan Statistical Area",11980,8.9,6.0,0.6741573033707865
95,US.CBSA,"Athens-Clarke County, GA Metropolitan Statistical Area",12020,14.2,3.7,0.2605633802816902
96,US.CBSA,"Atlanta-Sandy Springs-Alpharetta, GA Metropolitan Statistical Area",12060,13.7,4.7,0.34306569343065696
97,US.CBSA,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",12100,21.2,11.8,0.5566037735849058
98,US.CBSA,"Atmore, AL Micropolitan Statistical Area",12120,16.7,5.5,0.32934131736526945
99,US.CBSA,"Auburn, IN Micropolitan Statistical Area",12140,12.3,3.9,0.31707317073170727
100,US.CBSA,"Auburn, NY Micropolitan Statistical Area",12180,11.0,5.5,0.5
101,US.CBSA,"Auburn-Opelika, AL Metropolitan Statistical Area",12220,12.4,4.6,0.3709677419354838
102,US.CBSA,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",12260,13.5,4.0,0.2962962962962963
103,US.CBSA,"Augusta-Waterville, ME Micropolitan Statistical Area",12300,14.1,,
104,US.CBSA,"Austin, MN Micropolitan Statistical Area",12380,12.7,3.5,0.2755905511811024
105,US.CBSA,"Austin-Round Rock-Georgetown, TX Metropolitan Statistical Area",12420,8.4,5.1,0.6071428571428571
106,US.CBSA,"Bainbridge, GA Micropolitan Statistical Area",12460,11.3,3.8,0.33628318584070793
107,US.CBSA,"Bakersfield, CA Metropolitan Statistical Area",12540,16.1,10.6,0.6583850931677018
