,ZIP,PriceChange
0,10025,0.00477865398926061
1,60657,0.011305366749184134
2,10023,0.022192231353966363
3,77494,0.004248179455155047
4,60614,0.007519484162125878
5,77449,0.015693090249285172
6,10002,-0.032425296508947654
7,77084,0.01629282619261833
8,79936,0.021820544455070413
9,60640,0.017074090147394697
10,11226,0.005310065855314265
11,10467,-0.025131074682750002
12,78660,0.02522699840895375
13,94109,-0.003721333127497899
14,10016,0.00613852089998233
15,37013,0.01087201420579306
16,32162,0.002195246605085426
17,60647,0.01843278801360846
18,11201,0.013845126779009495
19,11235,0.01168342929985848
20,11375,0.0182332193401404
21,90250,0.02416562165644666
22,78130,0.01094082538645003
23,37211,0.01600220967522079
24,10009,0.008961642649172595
25,77573,0.012254583621473428
26,60618,0.018754097533914972
27,77584,0.005029920578334451
28,10011,-0.01877746193989916
29,20002,0.009473279904607942
30,10128,-0.014556902520509334
31,28269,0.01867458261008109
32,78613,0.018918184289209026
33,77433,0.015025705891953648
34,78572,0.019519835425579165
35,30349,0.01684886932908844
36,79912,0.024100449200484462
37,75052,0.014114106540909053
38,94565,0.025064840561791858
39,37042,0.020638307379521437
40,11206,0.03386546178473137
41,73099,0.006941785015021656
42,90046,0.012357100919289477
43,20009,0.0029170994687571744
44,77429,0.01578148366338877
45,78245,0.00870360105415682
46,77479,0.0022677587961746556
47,10462,0.0029735217422672973
48,10456,-0.015303473255898115
49,60613,0.012930959768421417
50,30044,0.020060224957931097
51,10019,-0.012149135091288113
52,63376,0.020898410129603594
53,10003,-0.00713206424688386
54,28277,0.019906638478703068
55,60625,0.020992908520934574
56,30043,0.018647740065076256
57,11230,-0.01646038867927022
58,11212,0.03276497204214701
59,77036,0.009938911387191983
60,10463,0.011020620966147098
61,60629,0.03425979310706304
62,11209,-0.0010795321149833354
63,30096,0.015174898124235687
64,11221,-0.0056207131439978955
65,7030,0.008790328485229577
66,98052,0.0305795808875891
67,30024,0.012874092531554407
68,60610,0.0070329256567313704
69,78704,0.02239964720594199
70,77077,0.009915544152234338
71,85032,0.03010824752736652
72,77379,0.014546729341872641
73,75287,0.011798998495071135
74,10024,-0.003646739260852165
75,78666,0.015330750160080122
76,21234,0.024754225575233837
77,33160,0.0029952051652877027
78,23464,0.01568778456393307
79,34787,0.005370630432307283
80,78521,0.03232552852921118
81,8701,0.022785845049144198
82,75243,0.00537033616549686
83,11214,0.016568773755062372
84,28027,0.014466883757057927
85,11207,0.01760993274702535
86,94501,0.017657405673295646
87,2169,0.015245224552347832
88,33411,0.021052178120050103
89,11229,0.00924376163545282
90,60619,0.016490157518897694
91,78745,0.0251334196821575
92,94110,0.0022219797940279903
93,23462,0.016817903730229015
94,33025,0.006630684987469262
95,10458,0.00039813479879111796
96,75067,0.013889553216305415
