,Geo_ID,MSA_PriceChange,Geo_Type
0,99999,1.015765695347674,National
1,35620,1.0151530622664244,MSA
2,31080,1.0211710088671901,MSA
3,16980,1.0154696575205286,MSA
4,19100,1.0127932407424716,MSA
5,37980,1.0202388762915473,MSA
6,26420,1.0113669045649027,MSA
7,47900,1.017074244689863,MSA
8,33100,1.0138401150006235,MSA
9,12060,1.0150497707371373,MSA
10,14460,1.018394314911611,MSA
11,41860,1.0156284341379647,MSA
12,19820,1.0195716395864107,MSA
13,40140,1.0238282140234485,MSA
14,38060,1.0267072648934794,MSA
15,42660,1.0284880352842973,MSA
16,33460,1.0157275132275132,MSA
17,41740,1.024090082297928,MSA
18,41180,1.0207230921404673,MSA
19,45300,1.0210446356895615,MSA
20,12580,1.0176692587312666,MSA
21,19740,1.01493702759731,MSA
22,38300,1.0250081599952523,MSA
23,38900,1.021289900998447,MSA
24,16740,1.0186156716865182,MSA
25,40900,1.0235241050315067,MSA
26,41700,1.0114659554582963,MSA
27,36740,1.0094540279911894,MSA
28,17140,1.018541696105941,MSA
29,17460,1.024555804461902,MSA
30,28140,1.0193586343431325,MSA
31,29820,1.0233228449399994,MSA
32,18140,1.0183756039198852,MSA
33,26900,1.0192374509483322,MSA
34,41940,1.0345882860144715,MSA
35,12420,1.0210507769238515,MSA
36,47260,1.0127820318900864,MSA
37,34980,1.0130804380042813,MSA
38,39300,1.0226685033471083,MSA
39,33340,1.0208906973423892,MSA
40,27260,1.0143586871102044,MSA
41,32820,1.0192195260045172,MSA
42,36420,1.0120833878702062,MSA
43,31140,1.0166842186856835,MSA
44,25540,1.0207536299163968,MSA
45,40060,1.0102667004344352,MSA
46,35380,1.014503536414236,MSA
47,15380,1.0249565351350163,MSA
48,39580,1.0142199221346502,MSA
49,13820,1.0150952237507112,MSA
50,41620,1.0209221212857902,MSA
51,40380,1.017122567544023,MSA
52,24340,1.0265542667560434,MSA
53,46060,1.0206679607612048,MSA
54,46520,1.0050182481751824,MSA
55,46140,1.0145200202217999,MSA
56,23420,1.027330525369542,MSA
57,49340,1.0257787950498507,MSA
58,14860,1.024975118333933,MSA
59,10740,1.0190689571565836,MSA
60,10580,1.0160940015431952,MSA
61,36540,1.0149130074565038,MSA
62,35300,1.0294871848154505,MSA
63,12540,1.0218349015358483,MSA
64,28940,1.0191111399338517,MSA
65,24860,1.0151056272200412,MSA
66,37100,1.0185652712315092,MSA
67,10900,1.0224332658237087,MSA
68,21340,1.0229172088719238,MSA
69,12940,1.0053139354380685,MSA
70,19430,1.023220489163303,MSA
71,32580,1.0163491873327744,MSA
72,17900,1.0141564481037748,MSA
73,24660,1.0191461240921051,MSA
74,10420,1.0162639230932706,MSA
75,35840,1.0179468216235252,MSA
76,30780,1.012237892694575,MSA
77,44700,1.0266083363093719,MSA
78,16700,1.013797578164768,MSA
79,45060,1.0206857946261196,MSA
80,17820,1.015453228500999,MSA
81,49180,1.0174436646615106,MSA
82,48620,1.016296984730576,MSA
83,44140,1.0180250051772655,MSA
84,15980,1.0090256619977507,MSA
85,14260,1.0275009550999374,MSA
86,45780,1.0211384986442786,MSA
87,31540,1.01761428889765,MSA
88,29460,1.0243608083855698,MSA
89,36260,1.0260485996920106,MSA
90,19660,1.0095053183995493,MSA
91,19780,1.0094285996157153,MSA
92,27140,1.0106648218419936,MSA
93,49660,1.0251461427886919,MSA
94,12260,1.0182542821503544,MSA
95,42540,1.0171084895488056,MSA
96,25420,1.0115156054931336,MSA
97,37340,1.0224604698319564,MSA
98,16860,1.0151190285900114,MSA
99,44060,1.0298509001316092,MSA
100,39340,1.0217771589732605,MSA
101,29540,1.0166026946095519,MSA
102,33700,1.02051497720078,MSA
103,38860,1.0177571439718143,MSA
104,20500,1.010738322343089,MSA
105,42220,1.0181071919434437,MSA
106,30460,1.0141652915564923,MSA
107,29180,1.0084059300015284,MSA
108,29620,1.016439310384861,MSA
109,22220,1.0189403747038277,MSA
110,37860,1.0146890623673315,MSA
111,47300,1.0221604219123854,MSA
112,43340,1.0117364513669154,MSA
113,44180,1.0173537643522217,MSA
114,49620,1.0139438664889702,MSA
115,18580,1.0134960857957374,MSA
116,22420,1.0188515314131348,MSA
117,39900,1.0230124411405264,MSA
118,11700,1.016424033503319,MSA
119,38940,1.0142355810218688,MSA
120,42200,1.018219418301194,MSA
121,26620,1.0282749008047323,MSA
122,23060,1.0113790231839652,MSA
123,41500,1.0193571262014356,MSA
124,46700,1.008730732177264,MSA
125,33660,1.0203467208639203,MSA
126,39740,1.017634380510744,MSA
127,15180,1.0290327225602074,MSA
128,28660,1.016300474881579,MSA
129,15940,1.0196968440833472,MSA
130,13140,1.0076940248530397,MSA
131,31700,1.0255244722541785,MSA
132,41420,1.019175128158505,MSA
133,11260,0.9861046446815347,MSA
134,19340,1.0003052094034273,MSA
135,37900,1.0099660525879448,MSA
136,34820,1.0138201647455964,MSA
137,33860,1.0121388017964579,MSA
138,41540,1.0138672772269892,MSA
139,25060,1.012979495048124,MSA
140,45220,1.0132858264387945,MSA
141,45940,1.0259442509808865,MSA
142,22180,1.0165128912649823,MSA
143,25860,1.0082583484567764,MSA
144,26580,0.9986852585818067,MSA
145,21660,1.0197142560962968,MSA
146,40420,1.009001156838819,MSA
147,42340,1.0044006891459514,MSA
148,11460,1.012493118197603,MSA
149,36100,1.0106202050798223,MSA
150,28020,1.0204200511310313,MSA
151,34940,1.020424822411727,MSA
152,43780,1.0140653041917667,MSA
153,43900,1.0147608726352824,MSA
154,21780,1.0119003978113588,MSA
155,28700,1.0138424004403386,MSA
