,Geo_ID,ZIP_PriceChange,Geo_Type
0,10025,1.0006320275780294,ZIP
1,60657,1.0188237873435315,ZIP
2,10023,1.0174267655774827,ZIP
3,77494,1.0116616888800998,ZIP
4,60614,1.013861172623339,ZIP
5,77449,1.023778172464478,ZIP
6,10002,0.9648850496035362,ZIP
7,77084,1.0235794635131237,ZIP
8,79936,1.0434117984257987,ZIP
9,60640,1.0275052703750456,ZIP
10,11226,1.0076331172013062,ZIP
11,10467,0.9625742616347656,ZIP
12,78660,1.0425373082983012,ZIP
13,94109,0.9798398813385231,ZIP
14,10016,1.0030816030673437,ZIP
15,37013,1.0188454949127652,ZIP
16,32162,1.004075035678055,ZIP
17,60647,1.028715548424059,ZIP
18,11201,1.028133342318199,ZIP
19,11235,1.0167198507166044,ZIP
20,11375,1.0189433016945806,ZIP
21,90250,1.0376287756000975,ZIP
22,78130,1.0214783122673379,ZIP
23,37211,1.0245165982049962,ZIP
24,10009,1.0178928806503833,ZIP
25,77573,1.016033141483777,ZIP
26,60618,1.0299450799077832,ZIP
27,77584,1.0072243655253135,ZIP
28,10011,0.969346011500987,ZIP
29,20002,1.0179366168983468,ZIP
30,10128,0.9894776175880728,ZIP
31,28269,1.0291742348985198,ZIP
32,78613,1.0460354159157708,ZIP
33,77433,1.020625927243678,ZIP
34,78572,1.0387792565396972,ZIP
35,30349,1.029514497324829,ZIP
36,79912,1.045324639146539,ZIP
37,75052,1.0265177623761539,ZIP
38,94565,1.036081429225502,ZIP
39,37042,1.035881268685234,ZIP
40,11206,1.0441075639639696,ZIP
41,73099,1.0133307279793309,ZIP
42,90046,1.0157225956140605,ZIP
43,20009,1.0039732211355983,ZIP
44,77429,1.0208511532285898,ZIP
45,78245,1.0166976333640563,ZIP
46,77479,1.008078355437394,ZIP
47,10462,1.0026905547367924,ZIP
48,10456,0.9722474540709278,ZIP
49,60613,1.0221992030001936,ZIP
50,30044,1.0339028900606217,ZIP
51,10019,0.9915644463867245,ZIP
52,63376,1.030180453493337,ZIP
53,10003,0.9832434349735197,ZIP
54,28277,1.0293074967054587,ZIP
55,60625,1.0330396867543965,ZIP
56,30043,1.0317586786911621,ZIP
57,11230,0.9961760245527617,ZIP
58,11212,1.0444593832307647,ZIP
59,77036,1.0192325144680168,ZIP
60,10463,1.010870418187865,ZIP
61,60629,1.0502751996031785,ZIP
62,11209,1.0123753711020083,ZIP
63,30096,1.0273670202356258,ZIP
64,11221,1.0053609751666346,ZIP
65,7030,1.0176781536571198,ZIP
66,98052,1.0479151598375547,ZIP
67,30024,1.022727631018881,ZIP
68,60610,1.0121727787226622,ZIP
69,78704,1.0409663848788588,ZIP
70,77077,1.013273876729172,ZIP
71,85032,1.0472326822528648,ZIP
72,77379,1.0195034530334957,ZIP
73,75287,1.0239945291876202,ZIP
74,10024,0.9866830583447777,ZIP
75,78666,1.030601272993182,ZIP
76,21234,1.0378520603107053,ZIP
77,33160,1.0052802276243205,ZIP
78,23464,1.0263328746339226,ZIP
79,34787,1.01287901449433,ZIP
80,78521,1.0534955999043705,ZIP
81,8701,1.0355792256443086,ZIP
82,75243,1.0292260919469358,ZIP
83,11214,1.0229800352914928,ZIP
84,28027,1.0253056518451413,ZIP
85,11207,1.0299341770433956,ZIP
86,94501,1.0380986978357183,ZIP
87,2169,1.0298431658496905,ZIP
88,33411,1.029108953188413,ZIP
89,11229,1.0155392167109767,ZIP
90,60619,1.0359790766431658,ZIP
91,78745,1.0498143606373935,ZIP
92,94110,0.9821215502436297,ZIP
93,23462,1.0260159611321626,ZIP
94,33025,1.0162776069062127,ZIP
95,10458,1.0296548254964428,ZIP
96,75067,1.0238153503893215,ZIP
97,90034,1.0263411998343894,ZIP
98,80134,1.0244039660098054,ZIP
99,33139,1.006594076765726,ZIP
100,60611,1.0118907474435113,ZIP
101,95630,1.0400696627304393,ZIP
102,48197,1.0267396016100734,ZIP
103,44107,1.0481324323929322,ZIP
104,66062,1.028195089172455,ZIP
105,11211,1.0152338124952631,ZIP
106,44035,1.044393689464112,ZIP
107,85281,1.0419508034925187,ZIP
108,11377,1.0127100268865954,ZIP
109,10453,1.0326454233718037,ZIP
110,90805,1.038582183186951,ZIP
111,7302,1.0127044796368285,ZIP
112,90650,1.038343214908827,ZIP
113,90044,1.04511085403523,ZIP
114,85710,1.0321048796767602,ZIP
115,92683,1.023953522244501,ZIP
116,85225,1.039978362832453,ZIP
117,11234,1.0262192377386945,ZIP
118,30281,1.0278287636686962,ZIP
119,37075,1.0305953659084668,ZIP
120,11355,1.0033936123636833,ZIP
121,11238,0.993372907179073,ZIP
122,78641,1.049120804351962,ZIP
123,10314,1.0043759669696886,ZIP
124,19143,1.0738341878309283,ZIP
125,79938,1.0310200771156928,ZIP
126,91709,1.0273264245637623,ZIP
127,11215,0.9969486689814232,ZIP
128,60617,1.0683710916849904,ZIP
129,87114,1.0325126119399908,ZIP
130,32210,1.027781253127815,ZIP
131,43081,1.0265760222389493,ZIP
132,94558,1.0298361966972722,ZIP
133,90026,1.0188750922154153,ZIP
134,76063,1.0222621220472572,ZIP
135,77459,1.008056489717237,ZIP
136,91910,1.0449461459687552,ZIP
137,27587,1.021754432336303,ZIP
138,30040,1.0224416973919337,ZIP
139,93722,1.035498272674104,ZIP
140,97229,1.0257313254708442,ZIP
141,6010,1.0375164257555847,ZIP
142,17603,1.037150596101176,ZIP
143,76028,1.0189781964659061,ZIP
144,33908,1.0117211574017009,ZIP
145,43123,1.0324688361227208,ZIP
146,75056,1.0220684187530924,ZIP
