Geo_ID,Geo_Type,COUNTY_PriceChange
06037,Counties,1.1486335618217978
17031,Counties,1.053209150929974
48201,Counties,1.114952095808383
04013,Counties,1.2590241946827965
06073,Counties,1.160142871981903
06059,Counties,1.1878744418045455
36047,Counties,0.9375190521703063
12086,Counties,1.132977370889272
48113,Counties,1.2271784117661948
36081,Counties,0.974046861930643
06065,Counties,1.161633908550009
06071,Counties,1.111059849673048
32003,Counties,1.069361643497436
53033,Counties,1.1782174730508899
26163,Counties,0.9436035939346912
48439,Counties,1.2048674044695886
06085,Counties,1.208039628180039
12011,Counties,1.0649584533329604
48029,Counties,1.147447409392478
36061,Counties,0.7696727442404772
42101,Counties,1.221843734015345
06001,Counties,1.176859650300044
25017,Counties,1.1487952767560445
36103,Counties,1.461159048986422
06067,Counties,1.1982368472780784
36005,Counties,0.7308650283024687
36059,Counties,1.1992687990059554
12099,Counties,1.0500734460111842
39035,Counties,1.091911399041342
12057,Counties,1.1676116991643455
42003,Counties,1.1907365206089862
26125,Counties,1.1141719595918826
39049,Counties,1.2488099514949764
27053,Counties,1.1515503403640253
12095,Counties,1.1680710808841777
51059,Counties,1.1177813385754776
06013,Counties,1.1071872553647502
49035,Counties,1.295889769001749
48453,Counties,1.3259135250869007
29189,Counties,0.9595297358862278
04019,Counties,1.1415088185328184
24031,Counties,1.086710674840109
15003,Counties,1.0721989022280902
36119,Counties,1.0812438075159843
55079,Counties,1.0040040396389571
06019,Counties,1.0382192656418154
47157,Counties,0.9584960311879434
13121,Counties,0.9688332323354744
37119,Counties,1.2158023255813952
36029,Counties,1.3395597052661994
17043,Counties,1.0208475352969035
09001,Counties,1.0922332189622574
12103,Counties,1.231009548933312
34003,Counties,1.1344740543622884
18097,Counties,1.2310891448894385
37183,Counties,1.1736425889614486
09003,Counties,1.027078008614448
12031,Counties,1.0970022536993769
24033,Counties,1.1632883122144446
09009,Counties,1.059887449395898
26099,Counties,1.1681576063044747
06029,Counties,1.1076913338766639
06111,Counties,1.0781742871205693
34023,Counties,1.0823665626263719
13135,Counties,1.2697022275014227
06075,Counties,1.1092706928677678
24005,Counties,1.0094232994405392
39061,Counties,1.1351644761547126
48141,Counties,1.1082210492525661
42091,Counties,1.115360004302926
25027,Counties,1.1181759557115885
53053,Counties,1.3148115448877296
34013,Counties,1.1700496060614378
48085,Counties,1.0933691043728317
48215,Counties,1.3709951095928814
36055,Counties,1.1905502340845608
25009,Counties,1.1960979356198667
21111,Counties,1.0661488018082679
41051,Counties,1.1190630660852063
25025,Counties,1.2458036685345184
40109,Counties,1.0108264539011451
06081,Counties,1.1991098520785723
53061,Counties,1.2954987889154976
17097,Counties,0.9113136466637545
13089,Counties,1.0180236759513535
13067,Counties,1.154634065392693
06077,Counties,1.2072220275058096
17197,Counties,1.0252204272907206
29095,Counties,1.1654408271622188
25021,Counties,1.1290596683495702
48121,Counties,1.1659003207096552
35001,Counties,1.1819166147654863
01073,Counties,0.9288061402165466
34017,Counties,1.334711598421363
34025,Counties,1.1666141613582253
47037,Counties,1.2338008508782332
44007,Counties,1.2738884218555213
42017,Counties,1.1203218530353314
08041,Counties,1.13559642843011
24510,Counties,0.9775052393862514
12071,Counties,1.0262886870830688
40143,Counties,1.0192478079509661
26081,Counties,1.337296111412941
12105,Counties,1.2646223189990136
11001,Counties,1.0694150809210474
08031,Counties,1.1049557770165055
48157,Counties,1.0482440046753454
34029,Counties,1.1574450636942675
08005,Counties,1.1169071393947787
42045,Counties,1.0162642042372343
25005,Counties,1.2220867114642366
20091,Counties,1.2272445502913232
12009,Counties,1.1481407187678263
39153,Counties,1.0161894177008044
10003,Counties,1.0300463643534867
24003,Counties,1.0695154538166918
34039,Counties,1.1432845484108383
39113,Counties,1.076555114154184
08059,Counties,1.2469337978600945
41067,Counties,1.1896371796452971
42071,Counties,1.2484348155432077
31055,Counties,1.2189830607412302
49049,Counties,1.2535392680467123
17089,Counties,1.0280720532243195
06099,Counties,1.2220049387125578
34007,Counties,1.0630548332280447
27123,Counties,1.1740495989353044
34031,Counties,1.134479913227183
42029,Counties,1.117018845671681
20173,Counties,1.0765390395189114
18089,Counties,1.0714198205321737
25023,Counties,1.1531834041573443
12127,Counties,1.2087400378079416
34027,Counties,1.0356689061439943
37081,Counties,1.0299195223842372
55025,Counties,1.1948158094774206
06097,Counties,1.1317001567111213
53063,Counties,1.2107772404923227
36085,Counties,1.0265851370318384
36067,Counties,1.163621967283627
12101,Counties,1.1854152923616745
25013,Counties,1.0919788664198233
48339,Counties,1.0504822061250476
45045,Counties,1.206909575112583
34005,Counties,1.0040326500732064
06107,Counties,1.1032928712576757
39095,Counties,0.9421298836242725
08001,Counties,1.2450743333069207
22033,Counties,0.9530110816838582
51810,Counties,1.0841790925527333
42133,Counties,1.1170597466872438
22051,Counties,1.1930993918918917
47093,Counties,1.1732091269334013
19153,Counties,1.1589546965672195
26049,Counties,1.1801469679999999
53011,Counties,1.1994962688830915
06083,Counties,1.1519627548678322
12117,Counties,1.1509431011621556
48491,Counties,1.3434105429829015
32031,Counties,1.2873832486301913
06053,Counties,1.109857222710213
06095,Counties,1.1604033512308214
01097,Counties,1.0310096986817323
42011,Counties,1.128970972045777
48061,Counties,1.2740822233797156
51153,Counties,1.1654337327806519
33011,Counties,1.2392472644721906
27037,Counties,1.1911090109716855
16001,Counties,1.577740088136566
55133,Counties,1.1311553583280916
45079,Counties,0.9311830815578303
05119,Counties,0.8676808640741306
12115,Counties,1.091864181993505
41005,Counties,1.1915220527204555
04021,Counties,1.371123616732822
