Geo_Type,Geo_Name,Geo_ID,MedianHomeValue
US.ZIP5,Holland,01521,272791
US.ZIP5,Jefferson,01522,345770
US.ZIP5,Lancaster,01523,399466
US.ZIP5,Leicester,01524,279119
US.ZIP5,Millbury,01527,323900
US.ZIP5,Millville,01529,342006
US.ZIP5,New Braintree,01531,367188
US.ZIP5,Northborough,01532,477419
US.ZIP5,Northbridge,01534,366405
US.ZIP5,North Brookfield,01535,280718
US.ZIP5,North Grafton,01536,387850
US.ZIP5,North Oxford,01537,236988
US.ZIP5,Oxford,01540,285721
US.ZIP5,Princeton,01541,446285
US.ZIP5,Rochdale,01542,266667
US.ZIP5,Rutland,01543,312018
US.ZIP5,Shrewsbury,01545,475404
US.ZIP5,Southbridge,01550,211443
US.ZIP5,South Grafton,01560,437252
US.ZIP5,South Lancaster,01561,450000
US.ZIP5,Spencer,01562,283655
US.ZIP5,Sterling,01564,389091
US.ZIP5,Sturbridge,01566,334609
US.ZIP5,Upton,01568,488354
US.ZIP5,Uxbridge,01569,344746
US.ZIP5,Webster,01570,247215
US.ZIP5,Dudley,01571,282624
US.ZIP5,Westborough,01581,510767
US.ZIP5,West Boylston,01583,319212
US.ZIP5,West Brookfield,01585,284640
US.ZIP5,Whitinsville,01588,346731
US.ZIP5,Sutton,01590,426063
US.ZIP5,Worcester,01602,249832
US.ZIP5,Worcester,01603,204373
US.ZIP5,Worcester,01604,241470
US.ZIP5,Worcester,01605,241304
US.ZIP5,Worcester,01606,233794
US.ZIP5,Worcester,01607,183016
US.ZIP5,Worcester,01608,211111
US.ZIP5,Worcester,01609,330743
US.ZIP5,Worcester,01610,191689
US.ZIP5,Cherry Valley,01611,291102
US.ZIP5,Paxton,01612,375875
US.ZIP5,Framingham,01701,444035
US.ZIP5,Framingham,01702,378226
US.ZIP5,Acton,01718,588235
US.ZIP5,Boxborough,01719,547072
US.ZIP5,Acton,01720,626715
US.ZIP5,Ashland,01721,445012
US.ZIP5,Bedford,01730,664555
US.ZIP5,Hanscom Afb,01731,0
US.ZIP5,Bolton,01740,590250
US.ZIP5,Carlisle,01741,899126
US.ZIP5,Concord,01742,925882
US.ZIP5,Fayville,01745,601563
US.ZIP5,Holliston,01746,497404
US.ZIP5,Hopedale,01747,388065
US.ZIP5,Hopkinton,01748,650218
US.ZIP5,Hudson,01749,380603
US.ZIP5,Marlborough,01752,386171
US.ZIP5,Maynard,01754,378073
US.ZIP5,Mendon,01756,495402
US.ZIP5,Milford,01757,332912
US.ZIP5,Natick,01760,597245
US.ZIP5,Sherborn,01770,839321
US.ZIP5,Southborough,01772,658472
US.ZIP5,Lincoln,01773,1049781
US.ZIP5,Stow,01775,554798
US.ZIP5,Sudbury,01776,763041
US.ZIP5,Wayland,01778,748409
US.ZIP5,Woburn,01801,460821
US.ZIP5,Burlington,01803,530857
US.ZIP5,Andover,01810,667434
US.ZIP5,Billerica,01821,412744
